seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12827,716361,39,43902346,66,Mare Westerink (Excelsior) Foul at 13',Mare Westerink Foul,1,779,13',20799,0,0,1980-01-01,0.0,0.0,0.72,0.442,0.0,0.0,392702.0,Mare Westerink,2024-10-03 05:37:51
12827,716361,39,43902346,66,Mare Westerink (Excelsior) Foul at 13',Mare Westerink Foul,1,779,13',20799,0,0,1980-01-01,0.0,0.0,0.72,0.442,0.0,0.0,,Lotje De Keijzer,2024-10-03 05:37:51
12827,716361,40,43902347,96,Dieke Van Straten (FC Utrecht) Free Kick at 14',Dieke Van Straten Free Kick,1,813,14',21978,0,0,1980-01-01,0.0,0.0,0.652,0.44,0.722,0.236,317223.0,Dieke Van Straten,2024-10-03 05:37:51
12827,716361,41,43902348,124,Lieke De With (Excelsior) Throw In at 14',Lieke De With Throw In,1,828,14',20799,0,0,1980-01-01,0.0,0.0,0.186,0.0,0.578,0.07,350364.0,Lieke De With,2024-10-03 05:37:51
12827,716361,42,43902349,66,Amber Visscher (FC Utrecht) Foul at 14',Amber Visscher Foul,1,830,14',21978,0,0,1980-01-01,0.0,0.0,0.654,0.112,0.0,0.0,334880.0,Amber Visscher,2024-10-03 05:37:51
12827,716361,42,43902349,66,Amber Visscher (FC Utrecht) Foul at 14',Amber Visscher Foul,1,830,14',21978,0,0,1980-01-01,0.0,0.0,0.654,0.112,0.0,0.0,,Dana Breewel,2024-10-03 05:37:51
12827,716361,43,43902350,96,Lieke De With (Excelsior) Free Kick at 15',Lieke De With Free Kick,1,843,15',20799,0,0,1980-01-01,0.0,0.0,0.584,0.074,0.238,0.294,350364.0,Lieke De With,2024-10-03 05:37:51
12827,716361,44,43902351,141,Yara Helderman (Excelsior) Assists Shot at 15',Yara Helderman Assists Shot,1,865,15',20799,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,325986.0,Yara Helderman,2024-10-03 05:37:51
12827,716361,45,43902352,135,Mare Westerink (Excelsior) Shot Blocked at 15',Mare Westerink Shot Blocked,1,865,15',20799,0,0,1980-01-01,0.0,0.0,0.474,0.235,0.388,0.283,392702.0,Mare Westerink,2024-10-03 05:37:51
12827,716361,46,43902353,77,Kyra Koopman (FC Utrecht) Save at 15',Kyra Koopman Save,1,865,15',21978,0,0,1980-01-01,0.0,0.0,0.29,0.242,0.0,0.0,392845.0,Kyra Koopman,2024-10-03 05:37:51
12827,716361,45,43902352,135,Mare Westerink (Excelsior) Shot Blocked at 15',Mare Westerink Shot Blocked,1,865,15',20799,0,0,1980-01-01,0.0,0.0,0.474,0.235,0.388,0.283,325986.0,Yara Helderman,2024-10-03 05:37:51
12827,716361,47,43902354,162,Dieke Van Straten (FC Utrecht) Blocked Pass at 16',Dieke Van Straten Blocked Pass,1,914,16',21978,0,0,1980-01-01,0.0,0.0,0.74,0.875,0.0,0.0,317223.0,Dieke Van Straten,2024-10-03 05:37:51
12827,716361,48,43902355,124,Yentl Van Goch (Excelsior) Throw In at 16',Yentl Van Goch Throw In,1,938,16',20799,0,0,1980-01-01,0.0,0.0,0.652,1.0,0.886,0.029,325879.0,Yentl Van Goch,2024-10-03 05:37:51
12827,716361,49,43902356,66,Marthe Munsterman (FC Utrecht) Foul at 16',Marthe Munsterman Foul,1,944,16',21978,0,0,1980-01-01,0.0,0.0,0.964,0.282,0.0,0.0,264732.0,Marthe Munsterman,2024-10-03 05:37:51
12827,716361,49,43902356,66,Marthe Munsterman (FC Utrecht) Foul at 16',Marthe Munsterman Foul,1,944,16',21978,0,0,1980-01-01,0.0,0.0,0.964,0.282,0.0,0.0,,Sabrine Ellouzi,2024-10-03 05:37:51
12827,716361,50,43902357,96,Yentl Van Goch (Excelsior) Free Kick at 16',Yentl Van Goch Free Kick,1,951,16',20799,0,0,1980-01-01,0.0,0.0,0.898,0.12,0.446,0.068,325879.0,Yentl Van Goch,2024-10-03 05:37:51
12827,716361,51,43902358,162,Lena Mahieu (FC Utrecht) Blocked Pass at 17',Lena Mahieu Blocked Pass,1,967,17',21978,0,0,1980-01-01,0.0,0.0,0.31,0.363,0.0,0.0,359612.0,Lena Mahieu,2024-10-03 05:37:51
12827,716361,52,43902359,68,Sabrine Ellouzi (Excelsior) Offside at 17',Sabrine Ellouzi Offside,1,970,17',20799,0,0,1980-01-01,0.0,0.0,0.188,0.282,0.176,0.161,309914.0,Sabrine Ellouzi,2024-10-03 05:37:51
12827,716361,53,43902360,96,Lena Mahieu (FC Utrecht) Free Kick at 17',Lena Mahieu Free Kick,1,986,17',21978,0,0,1980-01-01,0.0,0.0,0.53,0.386,0.626,0.3,359612.0,Lena Mahieu,2024-10-03 05:37:51
12827,716361,54,43902361,66,Elisha Kruize (FC Utrecht) Foul at 18',Elisha Kruize Foul,1,1024,18',21978,0,0,1980-01-01,0.0,0.0,0.536,0.85,0.0,0.0,347606.0,Elisha Kruize,2024-10-03 05:37:51
12827,716361,54,43902361,66,Elisha Kruize (FC Utrecht) Foul at 18',Elisha Kruize Foul,1,1024,18',21978,0,0,1980-01-01,0.0,0.0,0.536,0.85,0.0,0.0,,Mare Westerink,2024-10-03 05:37:51
12827,716361,55,43902362,96,Yentl Van Goch (Excelsior) Free Kick at 18',Yentl Van Goch Free Kick,1,1062,18',20799,0,0,1980-01-01,0.0,0.0,0.606,0.957,0.722,0.744,325879.0,Yentl Van Goch,2024-10-03 05:37:51
12827,716361,56,43902363,141,Dana Breewel (Excelsior) Assists Shot at 18',Dana Breewel Assists Shot,1,1079,18',20799,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,325875.0,Dana Breewel,2024-10-03 05:37:51
12827,716361,57,43902364,106,Sabrine Ellouzi (Excelsior) Shot On Target at 18',Sabrine Ellouzi Shot On Target,1,1079,18',20799,0,0,1980-01-01,0.0,0.0,0.17,0.521,0.012,0.505,309914.0,Sabrine Ellouzi,2024-10-03 05:37:51
12827,716361,58,43902365,77,Femke Bastiaen (FC Utrecht) Save at 18',Femke Bastiaen Save,1,1079,18',21978,0,0,1980-01-01,0.0,0.0,0.088,0.502,0.0,0.0,324777.0,Femke Bastiaen,2024-10-03 05:37:51
12827,716361,57,43902364,106,Sabrine Ellouzi (Excelsior) Shot On Target at 18',Sabrine Ellouzi Shot On Target,1,1079,18',20799,0,0,1980-01-01,0.0,0.0,0.17,0.521,0.012,0.505,325875.0,Dana Breewel,2024-10-03 05:37:51
12827,716361,59,43902366,95,Gera Op Den Kelder (FC Utrecht) Corner Kick at 19',Gera Op Den Kelder Corner Kick,1,1082,19',21978,0,0,1980-01-01,0.0,0.0,0.262,0.692,0.0,0.0,369851.0,Gera Op Den Kelder,2024-10-03 05:37:51
12827,716361,60,43902367,141,Kathelyn Noëlle Hendriks (Excelsior) Assists Shot at 19',Kathelyn Noëlle Hendriks Assists,1,1118,19',20799,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,309977.0,Kathelyn Noëlle Hendriks,2024-10-03 05:37:51
12827,716361,61,43902368,117,Lynn Groenewegen (Excelsior) Shot Off Target at 19',Lynn Groenewegen Shot Off Target,1,1118,19',20799,0,0,1980-01-01,0.0,0.0,0.14,0.491,0.102,0.448,324773.0,Lynn Groenewegen,2024-10-03 05:37:51
12827,716361,61,43902368,117,Lynn Groenewegen (Excelsior) Shot Off Target at 19',Lynn Groenewegen Shot Off Target,1,1118,19',20799,0,0,1980-01-01,0.0,0.0,0.14,0.491,0.102,0.448,309977.0,Kathelyn Noëlle Hendriks,2024-10-03 05:37:51
12827,716361,62,43902369,124,Kyra Koopman (FC Utrecht) Throw In at 19',Kyra Koopman Throw In,1,1128,19',21978,0,0,1980-01-01,0.0,0.0,0.556,0.0,0.638,0.079,392845.0,Kyra Koopman,2024-10-03 05:37:51
12827,716361,63,43902370,78,Elisha Kruize (FC Utrecht) Assist at 20',Elisha Kruize Assist,1,1175,20',21978,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,347606.0,Elisha Kruize,2024-10-03 05:37:51
12827,716361,64,43902371,70,Nurija Van Schoonhoven (FC Utrecht) Goal at 20',Nurija Van Schoonhoven Goal,1,1175,20',21978,0,0,1980-01-01,0.0,0.0,0.058,0.403,0.0,0.481,309942.0,Nurija Van Schoonhoven,2024-10-03 05:37:51
12827,716361,64,43902371,70,Nurija Van Schoonhoven (FC Utrecht) Goal at 20',Nurija Van Schoonhoven Goal,1,1175,20',21978,0,0,1980-01-01,0.0,0.0,0.058,0.403,0.0,0.481,347606.0,Elisha Kruize,2024-10-03 05:37:51
12827,716361,65,43864207,70,Nurija Van Schoonhoven (FC Utrecht) Goal at 20',Nurija Van Schoonhoven Goal,1,1200,20',21978,0,0,1980-01-01,0.0,0.0,0.234,0.495,0.0,0.497,309942.0,Nurija Van Schoonhoven,2024-10-03 05:37:51
12827,716361,66,43864208,78,Elisha Kruize (FC Utrecht) Assist at 20',Elisha Kruize Assist,1,1200,20',21978,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,347606.0,Elisha Kruize,2024-10-03 05:37:51
12827,716361,65,43864207,70,Nurija Van Schoonhoven (FC Utrecht) Goal at 20',Nurija Van Schoonhoven Goal,1,1200,20',21978,0,0,1980-01-01,0.0,0.0,0.234,0.495,0.0,0.497,347606.0,Elisha Kruize,2024-10-03 05:37:51
12827,716361,67,43902372,124,Yentl Van Goch (Excelsior) Throw In at 22',Yentl Van Goch Throw In,1,1319,22',20799,0,0,1980-01-01,0.0,0.0,0.886,0.0,0.756,0.125,325879.0,Yentl Van Goch,2024-10-03 05:37:51
12827,716361,68,43902373,66,Lena Mahieu (FC Utrecht) Foul at 23',Lena Mahieu Foul,1,1321,23',21978,0,0,1980-01-01,0.0,0.0,0.74,0.23,0.0,0.0,359612.0,Lena Mahieu,2024-10-03 05:37:51
12827,716361,68,43902373,66,Lena Mahieu (FC Utrecht) Foul at 23',Lena Mahieu Foul,1,1321,23',21978,0,0,1980-01-01,0.0,0.0,0.74,0.23,0.0,0.0,,Kathelyn Noëlle Hendriks,2024-10-03 05:37:51
12827,716361,69,43902374,96,Lynn Groenewegen (Excelsior) Free Kick at 23',Lynn Groenewegen Free Kick,1,1327,23',20799,0,0,1980-01-01,0.0,0.0,0.768,0.177,0.458,0.037,324773.0,Lynn Groenewegen,2024-10-03 05:37:51
12827,716361,70,43902375,162,Nurija Van Schoonhoven (FC Utrecht) Blocked Pass at 23',Nurija Van Schoonhoven Blocked P,1,1379,23',21978,0,0,1980-01-01,0.0,0.0,0.75,0.137,0.0,0.0,309942.0,Nurija Van Schoonhoven,2024-10-03 05:37:51
12827,716361,71,43902376,124,Lieke De With (Excelsior) Throw In at 24',Lieke De With Throw In,1,1400,24',20799,0,0,1980-01-01,0.0,0.0,0.874,0.0,0.84,0.909,350364.0,Lieke De With,2024-10-03 05:37:51
12827,716361,72,43902377,124,Amber Visscher (FC Utrecht) Throw In at 24',Amber Visscher Throw In,1,1421,24',21978,0,0,1980-01-01,0.0,0.0,0.748,1.0,0.79,0.924,334880.0,Amber Visscher,2024-10-03 05:37:51
12827,716361,73,43902378,95,Dieke Van Straten (FC Utrecht) Corner Kick at 24',Dieke Van Straten Corner Kick,1,1439,24',21978,0,0,1980-01-01,0.0,0.0,0.068,0.25,0.0,0.0,317223.0,Dieke Van Straten,2024-10-03 05:37:51
